id,e-search,e-entry,t-entry,e-cat,t-related,e-syn,e-ant
0,a,a,หนึ่ง (คำนำหน้าคำนามเพื่อแสดงว่าคำนามนั้นๆ ไม่ชี้เฉพาะ),DET,,,
1,A,A,อักษรตัวแรกในภาษาอังกฤษ,N,,,
2,a,a,อักษรตัวแรกในภาษาอังกฤษ,N,,,
3,a posteriori,a posteriori,จากผลไปสู่เหตุ,ADJ,,,
4,A.B.,A.B.,อักษรศาสตรบัณฑิต (คำย่อของ  Artium Baccfalaureus เท่ากับ Bachelor of Arts),ABBR,ศิลปศาสตรบัณฑิต,,
5,A.D.,A.D.,ปีคริสต์ศักราช (คำย่อของ Anno Domini),ABBR,ค.ศ.,,
6,A.M.,A.M.,เวลาหลังเที่ยงคืนถึงเที่ยงวัน (คำย่อของ ante meridiem),ABBR,,am; a.m.; AM,
7,a.m.,a.m.,เวลาหลังเที่ยงคืนถึงเที่ยงวัน (คำย่อของ ante meridiem),ABBR,,am; AM; A.M.,
8,aardvark,aardvark,สัตว์เลี้ยงลูกด้วยนมขนาดใหญ่ชนิดหนึ่งที่หากินเวลากลางคืน  กินมดและปลวกเป็นอาหาร มีลิ้นยาวมาก อุ้งเท้าแข็งแรงและหูยาว,N,,,
9,aardwolf,aardwolf,สัตว์เลี้ยงลูกด้วยนมในแอฟริกาคล้ายหมาป่า  กินแมลงเป็นอาหาร,N,,,
10,aback,aback,งงงวย,ADV,,,
11,aback,aback,ถอยหลัง,ADV,,back; backward,
12,abacus,abacus,ลูกคิด,N,,,
13,abaft,abaft,ข้างหลัง,PREP,,behind,
14,abaft,abaft,ข้างหลัง,ADV,,,
15,abaft,abaft,ไปทางข้างหลัง,PREP,"ไปทางท้าย, ไปทางท้ายเรือ",,
16,abandon,abandon,การปลดปล่อย,N,การปลดปล่อยอารมณ์,,
17,abandon,abandon,ทิ้ง,VT,"เลิก, ทอดทิ้ง, ละทิ้ง, ทิ้งขว้าง, ผละ, จากไป",quit; give up; foreswear; renounce; relinquish;,constraint; restraint
18,abandon,abandon,ปล่อยตามอารมณ์,VT,,,
19,abandonment,abandonment,การทอดทิ้ง,N,"การละทิ้ง, การสละ",desertion; defection,
20,abase,abase,ทำให้เสียเกียรติ,VT,ทำให้รู้สึกต้อยต่ำ,demean,
21,abash,abash,ทำให้อาย,VT,ทำให้ขวยเขิน,embarrass; disconcert,
22,abashment,abashment,การทำให้อาย,N,,embarrassment; shame,
23,abate,abate,ทำให้น้อยลง,VT,"บรรเทา, เบาบาง",reduce; lower; lighten,
24,abate,abate,ทำให้สิ้นสุด,VT,,end; stop; terminate,
25,abate,abate,น้อยลง,VI,ลดลง,,
26,abate,abate,สิ้นสุด,VI,,,
27,abatement,abatement,การลดลง,N,,lessening; decrease,
